100,00	100,00	1,00	0,00	0,00	5,00	1,00	50,00	24,52	24,50	0,43
50,00	100,00	30,00	0,00	0,00	100,00	31,00	0,00	24,52	54,23	0,53
50,00	100,00	1,00	0,00	100,00	5,00	1,00	50,00	24,52	51,25	0,52
50,00	0,00	1,00	70,00	100,00	5,00	31,00	0,00	24,52	51,25	0,52
50,00	100,00	1,00	0,00	100,00	100,00	31,00	50,00	24,52	51,25	0,52
50,00	0,00	1,00	0,00	0,00	100,00	1,00	0,00	24,52	54,23	0,53
50,00	0,00	30,00	70,00	100,00	5,00	1,00	50,00	24,52	51,25	0,52
100,00	100,00	30,00	0,00	0,00	5,00	1,00	0,00	24,52	24,50	0,43
50,00	100,00	30,00	0,00	0,00	100,00	1,00	50,00	24,52	54,23	0,53
50,00	100,00	1,00	0,00	100,00	100,00	31,00	50,00	24,52	51,25	0,52
50,00	100,00	1,00	70,00	100,00	5,00	31,00	50,00	24,52	51,25	0,52
100,00	100,00	30,00	0,00	0,00	100,00	1,00	0,00	24,52	54,23	0,53
100,00	100,00	30,00	70,00	0,00	5,00	31,00	50,00	24,52	51,25	0,52
50,00	0,00	1,00	70,00	0,00	100,00	31,00	50,00	24,52	54,23	0,53
100,00	0,00	30,00	70,00	0,00	100,00	31,00	0,00	24,52	54,23	0,53
100,00	0,00	1,00	0,00	100,00	100,00	1,00	50,00	50,94	51,25	0,52
50,00	0,00	1,00	0,00	100,00	5,00	31,00	50,00	24,52	51,25	0,52
100,00	0,00	30,00	70,00	0,00	5,00	31,00	0,00	24,52	51,25	0,52
100,00	100,00	1,00	70,00	0,00	5,00	31,00	50,00	40,00	51,25	0,52
50,00	100,00	30,00	70,00	0,00	100,00	1,00	50,00	24,52	54,23	0,53
100,00	0,00	30,00	0,00	0,00	100,00	1,00	0,00	24,52	54,23	0,53
50,00	100,00	1,00	70,00	100,00	5,00	1,00	50,00	24,52	51,25	0,52
50,00	0,00	1,00	70,00	0,00	100,00	1,00	0,00	24,52	54,23	0,53
100,00	100,00	1,00	0,00	100,00	5,00	1,00	50,00	24,52	51,25	0,52
100,00	100,00	1,00	0,00	0,00	100,00	31,00	0,00	24,52	54,23	0,53
50,00	0,00	1,00	70,00	0,00	100,00	31,00	50,00	24,52	54,23	0,53
50,00	100,00	30,00	70,00	100,00	5,00	1,00	50,00	24,52	51,25	0,52
100,00	100,00	1,00	70,00	0,00	5,00	1,00	50,00	40,00	24,50	0,52
100,00	0,00	1,00	0,00	100,00	5,00	1,00	50,00	50,94	51,25	0,52
100,00	100,00	1,00	70,00	100,00	100,00	1,00	50,00	24,52	51,25	0,52
50,00	0,00	30,00	0,00	0,00	5,00	31,00	50,00	24,52	51,25	0,52
50,00	0,00	30,00	0,00	100,00	100,00	31,00	50,00	24,52	51,25	0,52
50,00	100,00	1,00	70,00	0,00	100,00	1,00	0,00	24,52	54,23	0,53
100,00	100,00	30,00	70,00	100,00	5,00	31,00	0,00	24,52	51,25	0,52
100,00	100,00	30,00	70,00	0,00	5,00	1,00	50,00	24,52	24,50	0,43
100,00	100,00	30,00	70,00	0,00	5,00	1,00	0,00	24,52	24,50	0,43
50,00	100,00	1,00	70,00	0,00	5,00	31,00	50,00	24,52	51,25	0,52
100,00	100,00	1,00	70,00	0,00	5,00	1,00	0,00	40,00	24,50	0,52
50,00	100,00	30,00	70,00	0,00	100,00	1,00	50,00	24,52	54,23	0,53
50,00	0,00	1,00	0,00	100,00	100,00	31,00	50,00	24,52	51,25	0,52
100,00	0,00	1,00	0,00	0,00	100,00	31,00	0,00	50,94	54,23	0,53
100,00	0,00	30,00	70,00	100,00	5,00	1,00	0,00	24,52	24,50	0,43
50,00	0,00	1,00	70,00	100,00	5,00	1,00	0,00	24,52	24,50	0,43
50,00	0,00	30,00	0,00	100,00	100,00	31,00	50,00	24,52	51,25	0,52
50,00	100,00	1,00	0,00	100,00	100,00	1,00	50,00	24,52	51,25	0,52
100,00	100,00	1,00	70,00	100,00	100,00	31,00	0,00	24,52	77,66	0,54
100,00	0,00	1,00	0,00	100,00	5,00	31,00	50,00	50,94	51,25	0,52
100,00	100,00	30,00	0,00	100,00	5,00	31,00	50,00	24,52	51,25	0,52
